bins	day1	day3	day5	day7
1-10%	0.6753246753246753	0.7586206896551724	0.484375	0.3181818181818182
10-20%	0.12987012987012986	0.09195402298850575	0.3125	0.045454545454545456
20-30%	0.05194805194805195	0.05747126436781609	0.046875	0.2727272727272727
30-40%	0.012987012987012988	0.022988505747126436	0.046875	0.2727272727272727
40-50%	0.03896103896103896	0.0	0.0	0.045454545454545456
50-60%	0.012987012987012988	0.0	0.015625	0.0
60-70%	0.0	0.011494252873563218	0.0	0.045454545454545456
70-80%	0.025974025974025976	0.022988505747126436	0.0	0.0
80-90%	0.012987012987012988	0.011494252873563218	0.046875	0.0
90-99%	0.03896103896103896	0.022988505747126436	0.046875	0.0
