bins	day1	day3	day5	day7
1-10%	0.7415730337078652	0.7052631578947368	0.6627906976744186	0.6835443037974683
10-20%	0.056179775280898875	0.16842105263157894	0.20930232558139536	0.0759493670886076
20-30%	0.07865168539325842	0.031578947368421054	0.05813953488372093	0.05063291139240506
30-40%	0.033707865168539325	0.021052631578947368	0.023255813953488372	0.05063291139240506
40-50%	0.011235955056179775	0.0	0.0	0.11392405063291139
50-60%	0.011235955056179775	0.010526315789473684	0.0	0.012658227848101266
60-70%	0.0	0.0	0.03488372093023256	0.0
70-80%	0.011235955056179775	0.0	0.011627906976744186	0.0
80-90%	0.02247191011235955	0.031578947368421054	0.0	0.012658227848101266
90-99%	0.033707865168539325	0.031578947368421054	0.0	0.0
