bins	day1	day3	day5
1-10%	0.75	0.723404255319149	0.696969696969697
10-20%	0.08695652173913043	0.13829787234042554	0.15151515151515152
20-30%	0.043478260869565216	0.0425531914893617	0.030303030303030304
30-40%	0.010869565217391304	0.010638297872340425	0.015151515151515152
40-50%	0.03260869565217391	0.010638297872340425	0.015151515151515152
50-60%	0.010869565217391304	0.010638297872340425	0.045454545454545456
60-70%	0.0	0.0	0.0
70-80%	0.0	0.0	0.045454545454545456
80-90%	0.03260869565217391	0.031914893617021274	0.0
90-99%	0.03260869565217391	0.031914893617021274	0.0
